func_id,language,cc,source_repo,visibility,receiver_kind,paper_compiled,paper_branch_cov,paper_mutation,jv_T1_compile_v1,jv_T1_compile_v4,jv_err_v1,jv_err_v4,jv_fixed_by_import,jv_T2_ntest_v1,jv_T2_ntest_v4,jv_T4_mut_v1,jv_T4_mut_v4,py_T2_pass_v1,py_T2_pass_v2,py_T2_pass_v3,py_T2_pass_final,py_cause_v1,py_cause_v3,py_T3_cov_v1,py_T3_cov_best,py_T4_mut_v1,py_T4_mut_best
PY-013,python,6,pallets/flask,public,function,1,87.5,55.0,,,,,,,,,,4,1,3,3,8-assert-sai,8-assert-sai,62.5,62.5,42.86,57.14
PY-014,python,6,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,1,0,0,1-import-sai-ten,5-sai-chu-ky-goi,0.0,0.0,,
PY-015,python,6,pallets/flask,public,function,1,0.0,,,,,,,,,,,0,0,0,0,7-runtime-khac,7-runtime-khac,0.0,0.0,,
PY-016,python,6,pallets/flask,private,function,1,100.0,66.67,,,,,,,,,,6,6,6,6,OK-xanh,OK-xanh,100.0,100.0,100.0,100.0
PY-017,python,6,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,0,6,6,5-sai-chu-ky-goi,OK-xanh,0.0,100.0,,100.0
PY-018,python,6,pallets/flask,private,instance,0,0.0,,,,,,,,,,,0,1,1,1,1-import-sai-ten,8-assert-sai,0.0,83.33,,
PY-019,python,6,pallets/flask,public,instance,1,75.0,50.0,,,,,,,,,,4,0,1,1,8-assert-sai,5-sai-chu-ky-goi,75.0,25.0,100.0,0.0
PY-020,python,6,pallets/flask,private,staticmethod,0,0.0,,,,,,,,,,,0,6,0,3,1-import-sai-ten,z-khac,0.0,62.5,,
PY-021,python,7,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,1,1,1,1-import-sai-ten,4-thuoc-tinh-khong-ton-tai,0.0,60.0,,0.0
PY-022,python,7,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,1,2,2,1-import-sai-ten,7-runtime-khac,0.0,50.0,,0.0
PY-023,python,7,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,0,6,6,5-sai-chu-ky-goi,z-khac,0.0,90.0,,100.0
PY-024,python,7,pallets/flask,public,instance,1,70.0,36.84,,,,,,,,,,1,3,6,6,7-runtime-khac,5-sai-chu-ky-goi,60.0,80.0,25.0,100.0
PY-025,python,7,pallets/flask,private,instance,0,0.0,,,,,,,,,,,0,0,4,4,1-import-sai-ten,5-sai-chu-ky-goi,0.0,83.33,,100.0
